TEAM_1,TEAM_2,FIXTURE_DATE,TEAM_1_SCORE,TEAM_2_SCORE,TEAM_1_POINTS,TEAM_2_POINTS
Arsenal,Chelsea,2017-12-01 16:00:00,,,,
Arsenal,Man Utd,2017-12-02 15:00:01,,,,
Arsenal,Liverpool,2017-12-03 17:00:02,,,,
Arsenal,Tottenham,2017-12-04 18:00:03,,,,
Arsenal,Barca,2017-12-05 14:00:04,,,,
Arsenal,Real,2017-12-06 12:00:05,,,,
Arsenal,Bayern,2017-12-07 11:00:06,,,,
Arsenal,Juventus,2017-12-08 11:00:07,,,,
Man Utd,Liverpool,2017-12-09 11:00:08,,,,
Man Utd,Tottenham,2017-12-10 11:00:09,,,,
Man Utd,Barca,2017-12-11 11:00:10,,,,
Man Utd,Real,2017-12-12 11:00:11,,,,
Man Utd,Bayern,2017-12-13 11:00:12,,,,
Man Utd,Juventus,2017-12-14 11:00:13,,,,
Liverpool,Chelsea,2017-12-15 11:00:14,,,,
Liverpool,Tottenham,2017-12-01 11:00:15,,,,
Liverpool,Barca,2017-12-16 11:00:16,,,,
Liverpool,Real,2017-12-17 11:00:17,,,,
Liverpool,Bayern,2017-12-18 11:00:18,,,,
Liverpool,Juventus,2017-12-19 11:00:19,,,,
Tottenham,Barca,2017-12-20 11:00:20,,,,
Tottenham,Real,2017-12-21 11:00:21,,,,
Tottenham,Bayern,2017-12-22 11:00:22,,,,
Tottenham,Juventus,2017-12-23 11:00:23,,,,
