TEAM_1,TEAM_2,FIXTURE_DATE,TEAM_1_SCORE,TEAM_2_SCORE,TEAM_1_POINTS,TEAM_2_POINTS
JDA United,Lake Road FC,4/7/2017 18:00:00,,,,
United FC,Nutanix,4/7/2017 19:00:00,,,,
Old Monk FC,Mariners@Bangalore,4/8/2017 16:30:00,,,,
Trainspotters,Konar FC,4/8/2017 17:30:00,,,,
JDA United,Nutanix,4/17/2017 18:00:00,,,,
Trainspotters,United FC,4/19/2017 21:15:00,,,,
JDA United,Old Monk FC,4/21/2017 18:00:00,,,,
Nutanix,Lake Road FC,4/21/2017 19:00:00,,,,
Trainspotters,Old Monk FC,4/28/2017 18:30:00,,,,
Lake Road FC,Mariners@Bangalore,4/29/2017 16:30:00,,,,
Konar FC,United FC,4/29/2017 17:30:00,,,,
Nutanix,Old Monk FC,5/5/2017 18:00:00,,,,
United FC,Lake Road FC,5/5/2017 19:00:00,,,,
JDA United,Konar FC,5/6/2017 16:30:00,,,,
Trainspotters,Mariners@Bangalore,5/6/2017 17:30:00,,,,
Konar FC,Mariners@Bangalore,5/8/2017 19:00:00,,,,
Trainspotters,JDA United,5/12/2017 18:00:00,,,,
Lake Road FC,Old Monk FC,5/12/2017 19:00:00,,,,
United FC,Mariners@Bangalore,5/13/2017 16:30:00,,,,
Konar FC,Nutanix,5/13/2017 17:30:00,,,,
Trainspotters,Nutanix,5/19/2017 18:00:00,,,,
United FC,Old Monk FC,5/19/2017 19:00:00,,,,
JDA United,Mariners@Bangalore,5/20/2017 16:30:00,,,,
Lake Road FC,Konar FC,5/20/2017 17:30:00,,,,
Trainspotters,Lake Road FC,5/26/2017 18:00:00,,,,
JDA United,United FC,5/26/2017 19:00:00,,,,
Konar FC,Old Monk FC,5/27/2017 16:30:00,,,,
Mariners@Bangalore,Nutanix,5/27/2017 17:30:00,,,,
