NAME,TEAM_NAME,POSITION
Ospina,Arsenal,
Bellerin,Arsenal,
Coquelin,Arsenal,
Koscielny,Arsenal,
Mustafi,Arsenal,
Ramsey,Arsenal,
Alexis,Arsenal,
DJ Buffonge,Man Utd,
Michael Carrick,Man Utd,
Marouane Fellaini,Man Utd,
Sean Goss,Man Utd,
Callum Gribbin,Man Utd,
Ethan Hamilton,Man Utd,
Josh Harrop,Man Utd,
Ander Herrera,Man Utd,
Jesse Lingard,Man Utd,
Scott McTominay,Man Utd,
Juan Mata,Man Utd,
Andreas Pereira,Man Utd,
Devonte Redmond,Man Utd,
Joe Rothwell,Man Utd,
Morgan Schneiderlin,Man Utd,
Bastian Schweinsteiger,Man Utd,
James Weir,Man Utd,
Matty Willock,Man Utd,
Benteke,Liverpool,
Coutinho,Liverpool,
Ings,Liverpool,
Lallana,Liverpool,
Moreno,Liverpool,
Wheeler,Liverpool,
Victor Wanyama,Tottenham,
Kyle Walker,Tottenham,
Eric Dier,Tottenham,
Toby Alderweireld,Tottenham,
Christian Eriksen,Tottenham,
Dele Alli,Tottenham,
Hugo Lloris,Tottenham,
Vincent Janssen,Tottenham,
Kieran Trippier,Tottenham,
Messi,Barca,
Bousquests,Barca,
Pique,Barca,
Suarez,Barca,
Neymar,Barca,
Iniesta,Barca,
Ronaldo,Real,
Modric,Real,
Bale,Real,
Benzema,Real,
Isco,Real,
Robben,Bayern,
Ribery,Bayern,
Lahm,Bayern,
Muller,Bayern,
Dani Alves,Juventus,
Higuain,Juventus,
Khedira,Juventus,
Bonucci,Juventus,
